Post ID,Influencer Handle,Content Type,Post Date,Likes,Comments,Shares,Followers,Post Reach,Hashtags
POST0000,@influencer7,Image,2023-12-15,5490,111,71,115268,66564,"#beauty,#fashion"
POST0001,@influencer8,Image,2023-05-11,1785,313,257,326879,250374,"#tech,#travel"
POST0002,@influencer12,Reel,2023-02-18,8766,63,169,154503,51560,"#fitness,#fashion,#beauty"
POST0003,@influencer3,Reel,2023-11-03,8938,25,166,354457,304516,"#travel,#food"
POST0004,@influencer20,Image,2023-09-21,8326,210,80,490283,120506,"#travel,#fitness"
POST0005,@influencer18,Story,2023-02-13,261,206,269,430822,360813,"#travel,#tech"
POST0006,@influencer13,Story,2023-02-22,4987,414,216,222851,130507,#fashion
POST0007,@influencer9,Image,2023-05-09,2127,140,62,141330,36614,"#beauty,#food,#fashion"
POST0008,@influencer9,Image,2023-05-15,8492,332,267,380713,67130,"#food,#fitness,#fashion"
POST0009,@influencer3,Reel,2023-08-15,8210,466,130,189064,128068,"#fashion,#food,#beauty"
POST0010,@influencer10,Image,2023-06-28,963,235,240,112059,61701,"#tech,#fashion"
POST0011,@influencer7,Carousel,2023-08-31,3257,288,65,376369,280958,#fitness
POST0012,@influencer11,Image,2023-12-14,5692,235,189,290920,92426,"#fashion,#travel,#beauty"
POST0013,@influencer7,Story,2023-05-17,4513,169,224,496314,156601,"#lifestyle,#fashion,#beauty"
POST0014,@influencer17,Story,2023-02-21,1391,299,112,72172,23663,#lifestyle
POST0015,@influencer5,Image,2023-08-13,6628,407,125,223164,109698,"#fashion,#fitness"
POST0016,@influencer6,Image,2023-11-21,3031,102,197,94045,49714,#tech
POST0017,@influencer20,Image,2023-12-12,2086,151,147,138983,24591,#tech
POST0018,@influencer18,Carousel,2023-10-25,362,256,143,363745,322181,#travel
POST0019,@influencer9,Reel,2023-04-09,9974,308,207,71690,56280,"#tech,#beauty"
POST0020,@influencer20,Story,2023-08-15,2657,477,98,138272,14387,"#tech,#beauty"
POST0021,@influencer4,Reel,2023-03-09,7044,402,276,485047,338171,"#fashion,#beauty,#lifestyle"
POST0022,@influencer14,Story,2023-02-07,3536,55,263,155810,69727,#fashion
POST0023,@influencer16,Carousel,2023-01-04,4742,196,48,110983,26823,"#fitness,#food"
POST0024,@influencer9,Reel,2023-10-07,3520,306,180,120294,104763,#fashion
POST0025,@influencer3,Image,2023-01-18,1916,494,222,421309,276725,"#fitness,#beauty"
POST0026,@influencer2,Story,2023-09-30,8196,397,298,214141,82999,#beauty
POST0027,@influencer13,Image,2023-11-09,4880,24,263,273799,114291,"#fitness,#tech"
POST0028,@influencer19,Reel,2023-07-05,674,194,124,289821,165970,"#lifestyle,#tech"
POST0029,@influencer11,Image,2023-04-11,3224,64,107,381836,177863,"#tech,#fashion"
POST0030,@influencer10,Story,2023-05-27,4852,124,274,33251,23117,"#food,#fitness"
POST0031,@influencer9,Image,2023-05-09,1181,126,0,397942,119459,"#travel,#fashion"
POST0032,@influencer7,Image,2023-03-10,7104,251,75,72215,16386,"#fashion,#tech"
POST0033,@influencer14,Story,2023-07-23,6717,436,38,489963,116886,"#travel,#food"
POST0034,@influencer2,Image,2023-08-11,7005,151,95,196232,104297,#beauty
POST0035,@influencer12,Story,2023-06-12,2527,37,178,360754,307785,"#beauty,#food,#tech"
POST0036,@influencer12,Carousel,2023-10-29,9045,39,214,98008,61213,#travel
POST0037,@influencer9,Carousel,2023-07-15,925,118,74,136484,17927,#travel
POST0038,@influencer9,Image,2023-07-11,2886,181,98,90999,18395,#fashion
POST0039,@influencer13,Carousel,2023-08-05,3014,365,285,379032,199924,#food
POST0040,@influencer12,Reel,2023-08-21,8182,80,264,433486,375156,"#beauty,#lifestyle,#fitness"
POST0041,@influencer3,Image,2023-01-25,5688,488,52,327710,237601,"#fitness,#food,#travel"
POST0042,@influencer5,Carousel,2023-08-03,9024,239,145,108150,23186,"#travel,#tech"
POST0043,@influencer14,Reel,2023-06-17,6413,397,282,286209,62188,#fashion
POST0044,@influencer20,Reel,2023-11-23,4412,305,131,171981,114633,"#lifestyle,#fitness,#tech"
POST0045,@influencer7,Story,2023-06-22,4848,246,219,270853,39285,#food
POST0046,@influencer17,Reel,2023-11-08,1028,426,116,381965,283298,#travel
POST0047,@influencer11,Image,2023-08-17,9542,151,19,119065,27738,#travel
POST0048,@influencer16,Carousel,2023-01-12,1453,228,271,26447,10991,#fitness
POST0049,@influencer18,Image,2023-08-08,5064,45,227,25159,11638,"#travel,#fashion,#food"
POST0050,@influencer16,Reel,2023-02-15,7814,257,81,61178,41636,"#lifestyle,#travel,#beauty"
POST0051,@influencer13,Reel,2023-04-29,1115,293,64,105497,93873,#food
POST0052,@influencer17,Reel,2023-04-08,7366,389,5,279907,210020,"#fashion,#food,#lifestyle"
POST0053,@influencer5,Story,2023-03-24,7345,461,0,312250,99853,"#tech,#beauty"
POST0054,@influencer7,Story,2023-09-07,8965,442,117,317066,163647,#travel
POST0055,@influencer17,Image,2023-09-12,3474,411,206,6252,3727,"#fitness,#tech"
POST0056,@influencer2,Story,2023-10-13,9650,351,248,320557,147689,"#beauty,#lifestyle,#fitness"
POST0057,@influencer4,Story,2023-07-03,3572,334,272,287107,43924,#travel
POST0058,@influencer11,Carousel,2023-08-28,2006,115,248,160286,32447,"#fashion,#lifestyle,#fitness"
POST0059,@influencer3,Carousel,2023-04-03,771,438,60,126465,35293,#travel
POST0060,@influencer6,Reel,2023-05-13,6476,16,45,56745,11519,"#food,#tech"
POST0061,@influencer15,Image,2023-12-16,2978,52,60,140504,45172,#fashion
POST0062,@influencer14,Story,2023-01-28,8250,82,215,250121,174578,"#fitness,#fashion"
POST0063,@influencer11,Carousel,2023-10-01,7773,298,226,301818,88727,#tech
POST0064,@influencer17,Carousel,2023-03-27,7741,130,299,271776,220796,#beauty
POST0065,@influencer15,Image,2023-04-21,9785,38,110,340623,193892,"#tech,#travel,#food"
POST0066,@influencer2,Carousel,2023-11-11,976,458,228,426240,123516,"#fitness,#lifestyle"
POST0067,@influencer9,Carousel,2023-08-31,2690,44,228,343467,308366,"#fitness,#lifestyle"
POST0068,@influencer17,Story,2023-03-03,5660,198,202,346383,166712,#fitness
POST0069,@influencer1,Image,2023-04-23,6383,51,0,109537,78233,"#fashion,#food"
POST0070,@influencer3,Reel,2023-06-27,109,265,137,400435,104667,"#fashion,#travel"
POST0071,@influencer11,Carousel,2023-02-07,3590,98,94,373432,291494,"#food,#lifestyle"
POST0072,@influencer3,Carousel,2023-01-01,5515,324,59,142023,102996,"#tech,#lifestyle,#travel"
POST0073,@influencer5,Reel,2023-12-05,7646,82,61,287755,101565,"#beauty,#food"
POST0074,@influencer15,Reel,2023-06-02,2292,229,103,97263,58298,"#fitness,#fashion,#food"
POST0075,@influencer10,Image,2023-01-15,5842,161,288,64379,44625,"#fashion,#travel,#lifestyle"
POST0076,@influencer1,Story,2023-07-15,2745,326,9,370060,296570,#fitness
POST0077,@influencer13,Image,2023-07-03,3328,140,260,131108,37156,#food
POST0078,@influencer5,Image,2023-01-11,6266,307,217,211988,44791,"#beauty,#fashion"
POST0079,@influencer5,Image,2023-05-07,3277,96,286,114945,17832,"#food,#lifestyle,#travel"
POST0080,@influencer1,Story,2023-04-11,3576,350,109,183595,36669,#fashion
POST0081,@influencer15,Reel,2023-11-05,8493,440,116,365089,133914,"#tech,#lifestyle,#beauty"
POST0082,@influencer7,Story,2023-12-13,3700,132,250,477242,142495,#fashion
POST0083,@influencer11,Story,2023-06-03,5688,53,83,24816,5432,"#fashion,#travel"
POST0084,@influencer1,Image,2023-05-21,9281,219,210,98501,26015,#lifestyle
POST0085,@influencer1,Story,2023-06-24,6745,480,112,31737,15792,"#fashion,#travel,#beauty"
POST0086,@influencer7,Carousel,2023-10-15,4973,462,161,188675,139732,"#tech,#travel,#fitness"
POST0087,@influencer3,Image,2023-09-12,8619,58,248,483446,268580,"#lifestyle,#tech,#beauty"
POST0088,@influencer14,Carousel,2023-06-14,6712,402,222,71358,58304,"#lifestyle,#food,#tech"
POST0089,@influencer4,Reel,2023-07-07,4277,6,196,92955,34271,"#lifestyle,#tech,#fitness"
POST0090,@influencer6,Image,2023-08-10,7183,359,279,443864,352771,"#food,#beauty,#lifestyle"
POST0091,@influencer9,Image,2023-08-25,1404,363,200,322173,198472,"#travel,#beauty"
POST0092,@influencer5,Carousel,2023-11-22,5575,45,33,438168,185870,"#travel,#fitness"
POST0093,@influencer6,Carousel,2023-06-17,8901,272,236,52924,12717,#lifestyle
POST0094,@influencer14,Image,2023-05-10,3167,314,192,155322,26757,"#fitness,#lifestyle,#food"
POST0095,@influencer4,Reel,2023-07-06,9542,314,97,189374,119483,"#lifestyle,#food"
POST0096,@influencer19,Carousel,2023-09-01,7201,369,200,168993,81013,#fashion
POST0097,@influencer8,Story,2023-01-25,8070,135,228,91123,59754,"#beauty,#lifestyle"
POST0098,@influencer17,Reel,2023-01-17,429,61,11,137413,119073,"#food,#fashion,#tech"
POST0099,@influencer16,Story,2023-07-19,6709,93,267,82454,53969,#lifestyle
POST0100,@influencer7,Story,2023-12-01,8920,11,136,409338,343646,"#fitness,#food"
POST0101,@influencer7,Carousel,2023-04-13,5492,18,158,319519,90745,#food
POST0102,@influencer12,Carousel,2023-01-15,6740,8,209,118824,96102,"#fitness,#beauty"
POST0103,@influencer2,Story,2023-09-08,3910,383,38,374453,142505,"#travel,#fashion"
POST0104,@influencer12,Carousel,2023-09-23,7169,413,64,37733,3874,#fitness
POST0105,@influencer5,Reel,2023-07-12,8273,467,72,402710,164088,"#food,#lifestyle,#travel"
POST0106,@influencer6,Carousel,2023-11-15,8302,66,225,184352,128066,"#lifestyle,#fashion,#fitness"
POST0107,@influencer10,Carousel,2023-08-14,924,222,240,191626,145820,#food
POST0108,@influencer17,Reel,2023-06-27,9141,66,144,379999,310819,"#fashion,#food,#fitness"
POST0109,@influencer4,Story,2023-12-23,1390,109,122,496036,402284,#tech
POST0110,@influencer5,Carousel,2023-08-14,9275,128,37,478415,314113,"#travel,#lifestyle"
POST0111,@influencer5,Reel,2023-03-22,5333,44,223,382149,219325,"#tech,#beauty"
POST0112,@influencer6,Image,2023-05-27,2483,172,91,495042,392981,#tech
POST0113,@influencer4,Carousel,2023-06-04,2569,192,6,199692,160691,"#food,#lifestyle"
POST0114,@influencer7,Carousel,2023-03-23,2503,262,205,194004,98161,"#lifestyle,#tech,#food"
POST0115,@influencer8,Carousel,2023-12-20,4643,348,162,137079,25439,"#travel,#beauty"
POST0116,@influencer15,Story,2023-02-06,5184,282,195,208667,135697,"#tech,#beauty"
POST0117,@influencer10,Story,2023-07-12,8313,478,119,381826,298561,"#fashion,#fitness"
POST0118,@influencer20,Reel,2023-01-07,8320,399,32,12813,5092,"#fitness,#lifestyle,#food"
POST0119,@influencer4,Reel,2023-04-09,6640,493,38,204950,150811,#fitness
POST0120,@influencer11,Carousel,2023-07-14,2996,386,235,229695,102413,#tech
POST0121,@influencer5,Carousel,2023-09-14,1033,19,161,400196,104165,#lifestyle
POST0122,@influencer14,Reel,2023-05-25,3776,313,7,210390,97401,"#tech,#fashion"
POST0123,@influencer3,Image,2023-02-15,626,157,221,265550,53149,#lifestyle
POST0124,@influencer2,Image,2023-03-13,8686,68,204,196184,21442,"#lifestyle,#beauty"
POST0125,@influencer6,Reel,2023-09-24,313,183,87,211376,62067,#travel
POST0126,@influencer8,Image,2023-08-30,8132,6,224,425640,343077,"#travel,#lifestyle"
POST0127,@influencer2,Story,2023-12-25,189,178,121,217977,165041,"#fashion,#beauty"
POST0128,@influencer3,Carousel,2023-01-09,7017,77,222,162087,54958,"#beauty,#fitness"
POST0129,@influencer7,Carousel,2023-03-25,307,392,21,210209,101893,"#lifestyle,#tech,#travel"
POST0130,@influencer12,Carousel,2023-01-12,1660,305,242,424961,154351,"#fashion,#lifestyle"
POST0131,@influencer19,Image,2023-03-23,7157,215,149,173484,155626,#beauty
POST0132,@influencer15,Reel,2023-11-28,7105,217,158,64321,44649,#travel
POST0133,@influencer19,Image,2023-04-15,6663,254,116,36585,17902,"#fitness,#beauty"
POST0134,@influencer19,Carousel,2023-07-05,9561,129,267,254474,152270,#beauty
POST0135,@influencer10,Image,2023-01-14,6577,6,292,69324,10766,#beauty
POST0136,@influencer7,Reel,2023-03-25,8421,235,144,392962,137426,"#food,#fashion"
POST0137,@influencer12,Image,2023-06-13,7162,307,286,385298,310923,"#travel,#fitness"
POST0138,@influencer1,Reel,2023-10-03,5995,175,0,376000,87846,#fashion
POST0139,@influencer17,Image,2023-02-13,2303,371,206,154381,40860,#beauty
POST0140,@influencer20,Story,2023-10-12,6362,39,197,343404,290897,#tech
POST0141,@influencer18,Image,2023-09-08,225,486,216,356537,313209,"#fitness,#food,#beauty"
POST0142,@influencer13,Image,2023-12-02,2069,238,7,277369,69530,"#food,#fitness,#fashion"
POST0143,@influencer2,Reel,2023-11-07,5338,222,113,33625,19982,"#beauty,#fashion,#lifestyle"
POST0144,@influencer4,Reel,2023-01-01,3224,308,68,163056,30210,"#lifestyle,#travel"
POST0145,@influencer16,Reel,2023-03-14,3928,81,158,202096,37850,"#fitness,#lifestyle"
POST0146,@influencer2,Story,2023-10-06,9142,369,128,399583,134857,"#travel,#tech,#fashion"
POST0147,@influencer15,Reel,2023-11-12,5692,421,223,360824,164368,"#fitness,#beauty"
POST0148,@influencer10,Story,2023-09-22,9318,89,281,273615,140984,"#travel,#lifestyle"
POST0149,@influencer5,Story,2023-10-31,8334,436,20,431390,191834,"#fashion,#lifestyle,#travel"
POST0150,@influencer15,Image,2023-10-04,240,474,274,445097,103736,#lifestyle
POST0151,@influencer3,Image,2023-05-24,205,424,157,375321,157606,#lifestyle
POST0152,@influencer12,Story,2023-02-08,7152,163,70,487238,90383,"#travel,#fitness"
POST0153,@influencer1,Image,2023-06-22,6384,379,117,170140,137365,#travel
POST0154,@influencer10,Image,2023-06-01,4915,53,153,132834,96227,"#beauty,#fitness"
POST0155,@influencer18,Carousel,2023-06-13,3140,443,241,132556,31072,"#tech,#lifestyle,#beauty"
POST0156,@influencer16,Reel,2023-05-23,1087,459,159,96658,27601,"#travel,#food"
POST0157,@influencer3,Carousel,2023-03-26,9869,378,124,299054,203241,"#fitness,#beauty,#fashion"
POST0158,@influencer10,Image,2023-06-16,6864,498,35,378479,233230,"#food,#beauty,#tech"
POST0159,@influencer4,Reel,2023-02-18,3813,448,4,466227,133793,#beauty
POST0160,@influencer3,Story,2023-11-22,5349,219,171,417417,162940,"#fitness,#travel,#lifestyle"
POST0161,@influencer4,Reel,2023-11-29,3474,315,207,237041,42037,#beauty
POST0162,@influencer13,Carousel,2023-12-14,6870,108,117,227724,157071,#lifestyle
POST0163,@influencer18,Image,2023-08-19,4995,165,271,15699,11391,"#lifestyle,#fashion"
POST0164,@influencer13,Story,2023-12-27,440,262,248,397136,201657,"#travel,#fitness,#beauty"
POST0165,@influencer6,Carousel,2023-05-23,4537,320,100,226427,60412,"#food,#beauty,#travel"
POST0166,@influencer10,Story,2023-05-14,3238,340,6,493371,372489,"#food,#fitness,#lifestyle"
POST0167,@influencer18,Story,2023-10-03,6197,260,265,403872,226221,#beauty
POST0168,@influencer14,Image,2023-11-06,8529,385,24,207380,81713,#tech
POST0169,@influencer12,Image,2023-05-08,8834,338,19,256537,82656,"#fitness,#lifestyle,#food"
POST0170,@influencer19,Carousel,2023-01-05,6588,134,266,448057,65516,"#fashion,#food,#beauty"
POST0171,@influencer14,Carousel,2023-09-20,8691,256,96,102539,62195,#travel
POST0172,@influencer18,Carousel,2023-04-26,7970,66,255,187268,71796,"#travel,#lifestyle,#fashion"
POST0173,@influencer2,Story,2023-08-07,6648,250,229,209366,118442,"#travel,#lifestyle,#food"
POST0174,@influencer18,Reel,2023-08-01,2485,489,172,136743,67042,"#tech,#fashion,#lifestyle"
POST0175,@influencer4,Story,2023-02-21,4819,256,81,288367,215856,#travel
POST0176,@influencer17,Reel,2023-07-11,116,124,128,200713,90337,#travel
POST0177,@influencer11,Carousel,2023-10-17,875,447,213,318543,89692,#fashion
POST0178,@influencer5,Image,2023-11-29,3371,91,42,434440,68497,"#travel,#tech,#fashion"
POST0179,@influencer14,Image,2023-05-19,4631,403,210,130426,32366,"#fitness,#travel,#food"
POST0180,@influencer8,Image,2023-05-18,9865,115,219,422104,141977,#food
POST0181,@influencer4,Story,2023-04-15,8669,123,189,274054,239739,#fitness
POST0182,@influencer13,Reel,2023-06-09,4083,292,287,462595,104227,"#beauty,#food"
POST0183,@influencer8,Carousel,2023-11-30,6367,477,113,360093,114881,#fashion
POST0184,@influencer7,Reel,2023-09-25,1356,435,17,367644,258833,#fitness
POST0185,@influencer11,Reel,2023-01-22,7103,289,268,90457,16857,#tech
POST0186,@influencer19,Carousel,2023-03-29,8752,282,170,32044,18338,"#food,#fashion,#fitness"
POST0187,@influencer7,Image,2023-10-08,7395,233,110,355343,166743,#lifestyle
POST0188,@influencer10,Story,2023-01-10,1528,388,230,477794,119649,#tech
POST0189,@influencer12,Reel,2023-01-14,3589,441,19,122322,86238,"#food,#beauty,#fashion"
POST0190,@influencer15,Reel,2023-05-12,9335,398,23,202621,116392,#fitness
POST0191,@influencer4,Image,2023-02-26,5136,24,272,294910,235753,#lifestyle
POST0192,@influencer20,Image,2023-09-11,261,162,81,412442,130272,"#beauty,#food,#lifestyle"
POST0193,@influencer6,Reel,2023-12-22,8723,177,227,272613,98836,"#beauty,#tech,#travel"
POST0194,@influencer15,Carousel,2023-11-09,1119,122,160,458008,279404,"#fashion,#fitness,#beauty"
POST0195,@influencer16,Reel,2023-03-02,8429,54,258,321364,212165,"#food,#travel"
POST0196,@influencer13,Carousel,2023-09-02,1549,39,68,67812,31830,#fitness
POST0197,@influencer4,Story,2023-08-19,7562,423,128,269983,184562,"#fashion,#travel"
POST0198,@influencer20,Image,2023-02-05,6968,418,105,359717,46414,"#lifestyle,#fitness,#beauty"
POST0199,@influencer10,Reel,2023-07-24,681,48,227,195135,26772,"#tech,#food"
POST0200,@influencer7,Story,2023-05-07,9714,470,159,406143,218771,"#travel,#fitness,#food"
POST0201,@influencer5,Story,2023-01-21,3770,222,160,12345,8345,"#lifestyle,#travel,#food"
POST0202,@influencer2,Image,2023-02-12,6666,90,176,353688,208789,"#food,#travel"
POST0203,@influencer2,Story,2023-04-22,3237,334,97,213015,91471,#fitness
POST0204,@influencer6,Image,2023-02-28,710,196,242,105158,52348,"#fitness,#tech,#lifestyle"
POST0205,@influencer15,Image,2023-08-20,1849,120,91,5781,1682,#tech
POST0206,@influencer3,Image,2023-02-13,7364,46,226,26253,10436,"#beauty,#lifestyle,#food"
POST0207,@influencer19,Carousel,2023-09-25,107,412,296,343083,110182,"#lifestyle,#travel,#food"
POST0208,@influencer2,Carousel,2023-12-02,6630,369,258,398498,128126,"#tech,#fashion"
POST0209,@influencer16,Carousel,2023-04-11,2407,482,245,273050,220060,"#fashion,#food,#lifestyle"
POST0210,@influencer13,Story,2023-09-17,1023,106,222,31170,7162,"#lifestyle,#fashion,#food"
POST0211,@influencer2,Story,2023-05-13,326,193,264,407803,340338,"#beauty,#fashion"
POST0212,@influencer15,Image,2023-12-30,2604,217,215,313449,236780,"#fitness,#travel"
POST0213,@influencer1,Reel,2023-06-12,1815,38,40,208058,95765,"#food,#fashion"
POST0214,@influencer15,Carousel,2023-10-16,9015,385,271,92969,33476,"#travel,#fashion,#beauty"
POST0215,@influencer3,Image,2023-10-30,6025,147,190,107932,13658,#lifestyle
POST0216,@influencer9,Carousel,2023-09-09,7474,214,114,393832,314821,"#fitness,#beauty,#food"
POST0217,@influencer14,Image,2023-11-24,5761,338,83,244472,32666,"#food,#beauty"
POST0218,@influencer3,Story,2023-10-02,7980,288,172,184526,110175,#fashion
POST0219,@influencer20,Story,2023-04-30,1033,441,163,429871,133540,#tech
POST0220,@influencer3,Reel,2023-11-30,140,200,67,186211,145581,#fashion
POST0221,@influencer16,Reel,2023-03-03,2579,162,267,190378,59820,"#lifestyle,#travel"
POST0222,@influencer12,Reel,2023-07-20,3616,397,34,276312,41930,#lifestyle
POST0223,@influencer9,Carousel,2023-01-26,6848,410,231,478620,289587,#fitness
POST0224,@influencer4,Story,2023-03-17,8870,346,193,367455,213315,"#food,#travel,#beauty"
POST0225,@influencer12,Story,2023-08-06,4478,140,92,309748,150423,"#fashion,#lifestyle"
POST0226,@influencer6,Reel,2023-10-29,5076,194,135,435634,337677,#food
POST0227,@influencer11,Story,2023-08-21,1900,348,36,75448,44789,#food
POST0228,@influencer11,Story,2023-05-27,5102,337,126,319925,74274,"#travel,#fashion,#lifestyle"
POST0229,@influencer1,Reel,2023-03-31,6346,480,249,348492,35285,"#fashion,#fitness,#food"
POST0230,@influencer15,Image,2023-12-04,4133,328,160,261638,164866,#lifestyle
POST0231,@influencer19,Carousel,2023-02-10,5989,451,284,353264,218020,"#lifestyle,#fitness,#food"
POST0232,@influencer9,Reel,2023-02-08,870,88,154,67068,55127,"#lifestyle,#beauty"
POST0233,@influencer12,Carousel,2023-08-23,1956,315,212,173509,94894,"#travel,#beauty,#fashion"
POST0234,@influencer18,Image,2023-04-09,3600,379,72,172860,136454,"#beauty,#fitness"
POST0235,@influencer12,Carousel,2023-02-10,3234,27,74,200119,21982,"#travel,#fashion,#lifestyle"
POST0236,@influencer7,Story,2023-06-05,106,200,55,288456,108661,"#lifestyle,#fitness,#travel"
POST0237,@influencer15,Carousel,2023-05-06,1929,68,175,96575,85993,#travel
POST0238,@influencer3,Carousel,2023-02-14,8039,158,154,12597,1571,"#food,#fitness,#tech"
POST0239,@influencer15,Reel,2023-01-30,4109,489,121,220164,87254,#beauty
POST0240,@influencer13,Carousel,2023-05-06,5719,405,108,172647,64278,#travel
POST0241,@influencer19,Carousel,2023-02-11,9669,420,108,192954,46644,#fashion
POST0242,@influencer4,Carousel,2023-04-02,9595,129,110,462569,227176,"#tech,#lifestyle,#fashion"
POST0243,@influencer19,Reel,2023-12-07,2667,288,4,357912,239338,"#fitness,#food"
POST0244,@influencer13,Carousel,2023-05-20,6638,491,4,96088,61938,#beauty
POST0245,@influencer19,Story,2023-10-31,5967,312,69,470918,161034,"#fashion,#food"
POST0246,@influencer18,Reel,2023-06-28,6168,466,218,492505,223973,"#fashion,#fitness,#tech"
POST0247,@influencer8,Image,2023-12-03,2484,373,224,107239,31346,"#fashion,#beauty,#food"
POST0248,@influencer14,Reel,2023-10-14,8282,212,113,163175,137622,"#tech,#fitness"
